Area,Year,Adaptation costs ($billion)
MENA,2020,50
SSA,2020,14
SASIA,2020,25
EASIA,2020,26
LACA,2020,18
MENA,2030,141
SSA,2030,40
SASIA,2030,69
EASIA,2030,73
LACA,2030,50
MENA,2040,252
SSA,2040,71
SASIA,2040,123
EASIA,2040,131
LACA,2040,89
MENA,2050,373
SSA,2050,105
SASIA,2050,182
EASIA,2050,193
LACA,2050,131
MENA,2060,453
SSA,2060,128
SASIA,2060,221
EASIA,2060,235
LACA,2060,159
MENA,2070,655
SSA,2070,185
SASIA,2070,319
EASIA,2070,339
LACA,2070,230
MENA,2080,998
SSA,2080,282
SASIA,2080,487
EASIA,2080,517
LACA,2080,351
MENA,2090,1360
SSA,2090,384
SASIA,2090,663
EASIA,2090,705
LACA,2090,478
MENA,2100,1511
SSA,2100,427
SASIA,2100,737
EASIA,2100,783
LACA,2100,532
