Entity,Code,Year,CO2_per_capita
Qatar,QAT,2021,35.587307
Bahrain,BHR,2021,26.663702
Kuwait,KWT,2021,24.972116
Trinidad and Tobago,TTO,2021,23.677477
Brunei,BRN,2021,23.531528
United Arab Emirates,ARE,2021,21.792141
New Caledonia,NCL,2021,19.096947
Saudi Arabia,SAU,2021,18.70299
Oman,OMN,2021,17.916525
Australia,AUS,2021,15.091471
Mongolia,MNG,2021,15.029628
United States,USA,2021,14.858668
Sint Maarten (Dutch part),SXM,2021,14.704659
Kazakhstan,KAZ,2021,14.413248
Canada,CAN,2021,14.3004675
Palau,PLW,2021,13.210194
Faeroe Islands,FRO,2021,13.197505
Turkmenistan,TKM,2021,13.0887375
Luxembourg,LUX,2021,13.067673
Russia,RUS,2021,12.09865
South Korea,KOR,2021,11.886425
Taiwan,TWN,2021,11.85487
Libya,LBY,2021,11.064882
Saint Pierre and Miquelon,SPM,2021,10.505165
Curacao,CUW,2021,9.686285
Czechia,CZE,2021,9.241809
Anguilla,AIA,2021,9.173204
Iceland,ISL,2021,9.113199
Greenland,GRL,2021,9.0758
Poland,POL,2021,8.577376
Japan,JPN,2021,8.56574
Bermuda,BMU,2021,8.533475
Iran,IRN,2021,8.517396
Belgium,BEL,2021,8.243808
Germany,DEU,2021,8.08974
Netherlands,NLD,2021,8.058957
Aruba,ABW,2021,8.054269
China,CHN,2021,8.04574
Estonia,EST,2021,7.86407
Malaysia,MYS,2021,7.626435
Norway,NOR,2021,7.5732727
Turks and Caicos Islands,TCA,2021,7.558162
Ireland,IRL,2021,7.5283546
South Africa,ZAF,2021,7.339827
Austria,AUT,2021,7.243327
Finland,FIN,2021,6.7923503
New Zealand,NZL,2021,6.587057
Slovakia,SVK,2021,6.481401
Belarus,BLR,2021,6.2227383
Bulgaria,BGR,2021,6.1808095
Israel,ISR,2021,6.126762
Cyprus,CYP,2021,6.1087165
Niue,NIU,2021,6.0919776
Slovenia,SVN,2021,5.921149
Bahamas,BHS,2021,5.8503213
Guadeloupe,GLP,2021,5.784693
Andorra,AND,2021,5.7286263
