Country,Year,Cumulative CO2 emissions
Africa,1750,0
Africa,1751,0
Africa,1752,0
Africa,1753,0
Africa,1754,0
Africa,1755,0
Africa,1756,0
Africa,1757,0
Africa,1758,0
Africa,1759,0
Africa,1760,0
Africa,1761,0
Africa,1762,0
Africa,1763,0
Africa,1764,0
Africa,1765,0
Africa,1766,0
Africa,1767,0
Africa,1768,0
Africa,1769,0
Africa,1770,0
Africa,1771,0
Africa,1772,0
Africa,1773,0
Africa,1774,0
Africa,1775,0
Africa,1776,0
Africa,1777,0
Africa,1778,0
Africa,1779,0
Africa,1780,0
Africa,1781,0
Africa,1782,0
Africa,1783,0
Africa,1784,0
Africa,1785,0
Africa,1786,0
Africa,1787,0
Africa,1788,0
Africa,1789,0
Africa,1790,0
Africa,1791,0
Africa,1792,0
Africa,1793,0
Africa,1794,0
Africa,1795,0
Africa,1796,0
Africa,1797,0
Africa,1798,0
Africa,1799,0
Africa,1800,0
Africa,1801,0
Africa,1802,0
Africa,1803,0
Africa,1804,0
Africa,1805,0
Africa,1806,0
Africa,1807,0
Africa,1808,0
Africa,1809,0
Africa,1810,0
Africa,1811,0
Africa,1812,0
Africa,1813,0
Africa,1814,0
Africa,1815,0
Africa,1816,0
Africa,1817,0
Africa,1818,0
Africa,1819,0
Africa,1820,0
Africa,1821,0
Africa,1822,0
Africa,1823,0
Africa,1824,0
Africa,1825,0
Africa,1826,0
Africa,1827,0
Africa,1828,0
Africa,1829,0
Africa,1830,0
Africa,1831,0
Africa,1832,0
Africa,1833,0
Africa,1834,0
Africa,1835,0
Africa,1836,0
Africa,1837,0
Africa,1838,0
Africa,1839,0
Africa,1840,0
Africa,1841,0
Africa,1842,0
Africa,1843,0
Africa,1844,0
Africa,1845,0
Africa,1846,0
Africa,1847,0
Africa,1848,0
Africa,1849,0
Africa,1850,0
Africa,1851,0
Africa,1852,0
Africa,1853,0
Africa,1854,0
Africa,1855,0
Africa,1856,0
Africa,1857,0
Africa,1858,0
Africa,1859,0
Africa,1860,0
Africa,1861,0
Africa,1862,0
Africa,1863,0
Africa,1864,0
Africa,1865,0
Africa,1866,0
Africa,1867,0
Africa,1868,0
Africa,1869,0
Africa,1870,0
Africa,1871,0
Africa,1872,0
Africa,1873,0
Africa,1874,0
Africa,1875,0
Africa,1876,0
Africa,1877,0
Africa,1878,0
Africa,1879,0
Africa,1880,0
Africa,1881,0
Africa,1882,0
Africa,1883,0
Africa,1884,21984
Africa,1885,58624
Africa,1886,106256
Africa,1887,153888
Africa,1888,234496
Africa,1889,366400
Africa,1890,663184
Africa,1891,959968
Africa,1892,1439952
Africa,1893,3238976
Africa,1894,5671872
Africa,1895,9009776
Africa,1896,13267344
Africa,1897,18045200
Africa,1898,24094464
Africa,1899,29612448
Africa,1900,31942752
Africa,1901,35852240
Africa,1902,41678000
Africa,1903,49573920
Africa,1904,58484770
Africa,1905,68747630
Africa,1906,80465100
Africa,1907,93395360
Africa,1908,106798270
Africa,1909,122183410
Africa,1910,139594740
Africa,1911,156460130
Africa,1912,174413730
Africa,1913,194019790
Africa,1914,213570900
Africa,1915,233176960
Africa,1916,256432370
Africa,1917,281776260
Africa,1918,306500930
Africa,1919,331943740
Africa,1920,359995330
Africa,1921,387980960
Africa,1922,411950850
Africa,1923,440995400
Africa,1924,471626430
Africa,1925,503811000
Africa,1926,538248960
Africa,1927,572089600
Africa,1928,606859970
Africa,1929,642661570
Africa,1930,676357250
Africa,1931,705820900
Africa,1932,732443700
Africa,1933,760934850
Africa,1934,793474100
Africa,1935,829383700
Africa,1936,868399600
Africa,1937,910243900
Africa,1938,954257000
Africa,1939,1001109950
Africa,1940,1050759200
Africa,1941,1104782600
Africa,1942,1163605500
Africa,1943,1223725000
Africa,1944,1290358000
Africa,1945,1357885200
Africa,1946,1426044500
Africa,1947,1493979400
Africa,1948,1565712500
Africa,1949,1643036000
Africa,1950,1736488200
Africa,1951,1836350200
Africa,1952,1945232600
Africa,1953,2056028700
Africa,1954,2172185600
Africa,1955,2300244000
Africa,1956,2433753300
Africa,1957,2573706500
Africa,1958,2722011000
Africa,1959,2869921800
Africa,1960,3026562300
Africa,1961,3188640800
Africa,1962,3355067400
Africa,1963,3531516000
Africa,1964,3725279700
Africa,1965,3939064300
Africa,1966,4160326000
Africa,1967,4397583400
Africa,1968,4655184000
Africa,1969,4933323300
Africa,1970,5236266000
Africa,1971,5568470000
Africa,1972,5920708600
Africa,1973,6299130000
Africa,1974,6687994400
Africa,1975,7075823600
Africa,1976,7496680400
Africa,1977,7930524700
Africa,1978,8393791500
Africa,1979,8893783000
Africa,1980,9430273000
Africa,1981,9979639000
Africa,1982,10552216000
