Name,ISO3,Year,GDP,Value
Afghanistan,AFG,2020,20143442150.971,32.9999316006805
Angola,AGO,2020,53619073505.1377,37.8609948419591
Albania,ALB,2020,15131866270.5936,49.7578377350107
United Arab Emirates,ARE,2020,349473015336.939,60.7350588503079
Argentina,ARG,2020,385540224628.292,48.8170026631385
Armenia,ARM,2020,12641697523.2966,55.5871384464245
Antigua and Barbuda,ATG,2020,1370281481.48148,48.4252605037073
Australia,AUS,2020,1326901059123.21,68.495970004396
Austria,AUT,2020,435225238000.437,70.1439086208684
Azerbaijan,AZE,2020,42693000000.0,50.068246653371
Burundi,BDI,2020,2649671998.86192,35.5189058131821
Belgium,BEL,2020,525211810652.608,62.7350040325208
Benin,BEN,2020,15651545208.8783,38.2191823074841
Burkina Faso,BFA,2020,17933606353.1775,37.1803449395957
Bangladesh,BGD,2020,373902134700.41,36.8813953155784
Bulgaria,BGR,2020,70240275010.1964,54.9283813562323
Bahrain,BHR,2020,34723357446.8085,52.7415543698847
Bosnia and Herzegovina,BIH,2020,19950471170.6465,49.6858377432799
Belarus,BLR,2020,61371126414.1663,57.8548842065979
Belize,BLZ,2020,2080000000.0,43.8376292313597
Brazil,BRA,2020,1448559976218.19,48.1121534475166
Barbados,BRB,2020,4671800000.0,57.5366926844652
Brunei Darussalam,BRN,2020,12005825759.223,58.0845176516375
Bhutan,BTN,2020,2325184481.4277,47.8477050433019
Botswana,BWA,2020,14930072458.5814,48.3399517065607
Central African Republic,CAF,2020,2326720920.59223,27.1484396811669
Canada,CAN,2020,1645423407568.36,67.5392540194697
Switzerland,CHE,2020,739913619797.445,71.9254233081042
Chile,CHL,2020,252727193710.018,60.9086247339605
China,CHN,2020,14687673892882.0,57.8677484384584
Cote d'Ivoire,CIV,2020,61348579465.1017,39.6088012010661
Cameroon,CMR,2020,40773241531.2395,38.9561409323709
Colombia,COL,2020,270299984937.97,48.0629564118235
Comoros,COM,2020,1225039230.74083,37.5009935900167
Costa Rica,CRI,2020,62158002233.0279,53.7868335037253
Cuba,CUB,2020,107352000000.0,45.7219178814131
Cyprus,CYP,2020,25008448886.3507,57.5892066180273
Germany,DEU,2020,3889668895299.62,69.8486619746717
Djibouti,DJI,2020,3181071153.6622,42.4293889753956
Dominica,DMA,2020,504214814.814815,53.646533245304
Denmark,DNK,2020,355222449505.211,71.0960164429768
Dominican Republic,DOM,2020,78844702329.0785,46.4680098930423
Algeria,DZA,2020,145009181490.62,47.0466380228906
Ecuador,ECU,2020,99291124000.0,44.3898284616998
Spain,ESP,2020,1276962685648.25,61.8198642657877
Estonia,EST,2020,31370395572.7658,62.7621618456057
Ethiopia,ETH,2020,107657734392.446,37.1545702534029
Finland,FIN,2020,271891788362.647,72.045436075393
Fiji,FJI,2020,4477040340.45226,51.8110841657136
France,FRA,2020,2639008701648.26,66.937331961279
Gabon,GAB,2020,15314577167.8211,43.7046528235617
United Kingdom,GBR,2020,2704609160088.15,69.363564539084
Georgia,GEO,2020,15842922532.7202,57.8204994637034
Ghana,GHA,2020,70043199813.6885,43.9879337368164
Guinea,GIN,2020,14177835816.2777,39.0306684099602
Guinea-Bissau,GNB,2020,1431758242.90375,30.5545507886348
Equatorial Guinea,GNQ,2020,10099158074.7273,39.6602052441683
Greece,GRC,2020,188925995936.807,60.203285393549
Grenada,GRD,2020,1043414814.81481,53.5890225403909
Guatemala,GTM,2020,77625486978.2561,43.4257893802211
Guyana,GUY,2020,5471256594.72422,42.6438810838214
Honduras,HND,2020,23827840809.7014,40.2514811157087
Croatia,HRV,2020,57472012426.6853,54.7852112157796
Haiti,HTI,2020,14508218017.4032,35.0279044381132
Hungary,HUN,2020,157182045260.23,56.3627557139388
Indonesia,IDN,2020,1058688935454.78,46.7561353765249
India,IND,2020,2667687951796.5,43.9830108005174
Ireland,IRL,2020,425852281928.121,63.9843744543907
Iraq,IRQ,2020,184369797315.436,42.9341210093296
Iceland,ISL,2020,21694674809.9321,69.7820130798587
Israel,ISR,2020,413267669231.522,61.3167949264454
Italy,ITA,2020,1896755301518.14,59.9739458327027
Jamaica,JAM,2020,13812425036.5864,48.8504641373126
Jordan,JOR,2020,44182298291.8206,51.3998139607935
Japan,JPN,2020,5040107754084.11,65.5122039485779
Kazakhstan,KAZ,2020,171082379532.988,57.9480828441333
Kenya,KEN,2020,100666542665.72,38.6973207673954
Cambodia,KHM,2020,25872798012.1938,38.7323406447892
Kuwait,KWT,2020,105960225688.145,54.1786062316495
Lebanon,LBN,2020,31712128253.7961,43.5358330632296
Liberia,LBR,2020,3039982500.0,33.7772435023467
Sri Lanka,LKA,2020,85349112170.9594,46.0106072096261
Lesotho,LSO,2020,2231214507.47611,41.3863087744451
Lithuania,LTU,2020,56846622904.4391,60.9591818547985
Luxembourg,LUX,2020,73992591285.3029,68.5704908735131
Latvia,LVA,2020,34601740323.3386,59.3571529868556
Morocco,MAR,2020,121348138320.276,52.6144460116016
Madagascar,MDG,2020,13051441059.3338,35.2712161178034
Maldives,MDV,2020,3746321936.37729,45.5776550015457
Mexico,MEX,2020,1090515389749.41,47.45965639274
Mali,MLI,2020,17465392915.9153,34.7264698492895
Malta,MLT,2020,14933066818.9606,58.578038643466
Myanmar,MMR,2020,78930257227.0908,37.6051993733194
Montenegro,MNE,2020,4769860740.74074,54.5918067819697
Mongolia,MNG,2020,13312981594.573,53.4762432344103
Mozambique,MOZ,2020,14028811071.7628,37.5592611379341
Mauritania,MRT,2020,8405491201.74674,39.3312125148762
Mauritius,MUS,2020,11401050654.5624,56.963115256042
Malawi,MWI,2020,12182348212.7073,36.9890733413717
Malaysia,MYS,2020,337337932675.152,56.6428405460428
Namibia,NAM,2020,10581585630.0773,45.1227132572627
Niger,NER,2020,13744174689.9681,32.9107854291288
Nigeria,NGA,2020,432198936002.177,37.5364092997158
Nicaragua,NIC,2020,12586970511.4131,41.2939151425444
Netherlands,NLD,2020,909793466661.481,66.6384340087115
Norway,NOR,2020,362198318435.26,75.4104340493396
Nepal,NPL,2020,33433670511.9364,41.7206150029328
New Zealand,NZL,2020,211734532308.013,69.6893398026673
Oman,OMN,2020,75909397659.2978,54.5601855172288
Pakistan,PAK,2020,300425666773.043,39.0459251225624
Panama,PAN,2020,53977000000.0,49.4852974233136
Peru,PER,2020,201705055938.653,48.5643023859342
Philippines,PHL,2020,361751116292.541,43.8777434761021
Papua New Guinea,PNG,2020,23848265895.9538,37.3895916959374
Poland,POL,2020,599449188399.108,60.9665958889314
Portugal,PRT,2020,229031860520.777,62.1696200486387
Paraguay,PRY,2020,35432178068.1814,48.0394752895019
Qatar,QAT,2020,144411363345.27,57.9724190157376
Romania,ROU,2020,251362040527.804,51.1244626600476
Russian Federation,RUS,2020,1489362488439.76,60.0124773365174
Rwanda,RWA,2020,10184345442.1708,41.9967563751552
Saudi Arabia,SAU,2020,703367841222.555,56.8084033415217
