Area,Year,Adaptation costs ($billion),Damages,Costs
MENA,2020,50,90,140
SSA,2020,14,78,92
SASIA,2020,25,240,265
EASIA,2020,26,85,111
LACA,2020,18,214,232
MENA,2030,141,130,271
SSA,2030,40,112,152
SASIA,2030,69,345,414
EASIA,2030,73,122,195
LACA,2030,50,308,358
MENA,2040,252,162,414
SSA,2040,71,140,211
SASIA,2040,123,431,554
EASIA,2040,131,153,284
LACA,2040,89,385,474
MENA,2050,373,195,568
SSA,2050,105,168,273
SASIA,2050,182,518,700
EASIA,2050,193,183,376
LACA,2050,131,462,593
MENA,2060,453,231,684
SSA,2060,128,199,327
SASIA,2060,221,613,834
EASIA,2060,235,217,452
LACA,2060,159,548,707
MENA,2070,655,375,1030
SSA,2070,185,323,508
SASIA,2070,319,997,1316
EASIA,2070,339,353,692
LACA,2070,230,891,1121
MENA,2080,998,450,1448
SSA,2080,282,389,671
SASIA,2080,487,1198,1685
EASIA,2080,517,424,941
LACA,2080,351,1070,1421
MENA,2090,1360,540,1900
SSA,2090,384,467,851
SASIA,2090,663,1438,2101
EASIA,2090,705,509,1214
LACA,2090,478,1284,1762
MENA,2100,1511,648,2159
SSA,2100,427,560,987
SASIA,2100,737,1725,2462
EASIA,2100,783,610,1393
LACA,2100,532,1541,2073
