Area,Year,Damages
USA,2020,78
W. Europe,2020,405
E. Europe,2020,12
KOSAU,2020,2
CAJANZ,2020,26
TE,2020,1
MENA,2020,90
SSA,2020,78
SASIA,2020,240
CHINA,2020,19
EASIA,2020,85
LACA,2020,214
Total,2020,1250
USA,2030,113
W. Europe,2030,584
E. Europe,2030,17
KOSAU,2030,2
CAJANZ,2030,38
TE,2030,2
MENA,2030,130
SSA,2030,112
SASIA,2030,345
CHINA,2030,28
EASIA,2030,122
LACA,2030,308
Total,2030,1800
USA,2040,141
W. Europe,2040,730
E. Europe,2040,22
KOSAU,2040,3
CAJANZ,2040,47
TE,2040,2
MENA,2040,162
SSA,2040,140
SASIA,2040,431
CHINA,2040,34
EASIA,2040,153
LACA,2040,385
Total,2040,2250
USA,2050,169
W. Europe,2050,876
E. Europe,2050,26
KOSAU,2050,3
CAJANZ,2050,57
TE,2050,3
MENA,2050,195
SSA,2050,168
SASIA,2050,518
CHINA,2050,41
EASIA,2050,183
LACA,2050,462
Total,2050,2700
USA,2060,200
W. Europe,2060,1038
E. Europe,2060,31
KOSAU,2060,4
CAJANZ,2060,67
TE,2060,3
MENA,2060,231
SSA,2060,199
SASIA,2060,613
CHINA,2060,49
EASIA,2060,217
LACA,2060,548
Total,2060,3200
USA,2070,325
W. Europe,2070,1686
E. Europe,2070,50
KOSAU,2070,6
CAJANZ,2070,109
TE,2070,6
MENA,2070,375
SSA,2070,323
SASIA,2070,997
CHINA,2070,80
EASIA,2070,353
LACA,2070,891
Total,2070,5200
USA,2080,391
W. Europe,2080,2027
E. Europe,2080,60
KOSAU,2080,8
CAJANZ,2080,131
TE,2080,7
MENA,2080,450
SSA,2080,389
SASIA,2080,1198
CHINA,2080,96
EASIA,2080,424
LACA,2080,1070
Total,2080,6250
USA,2090,469
W. Europe,2090,2432
E. Europe,2090,72
KOSAU,2090,9
CAJANZ,2090,157
TE,2090,8
MENA,2090,540
SSA,2090,467
SASIA,2090,1438
CHINA,2090,115
EASIA,2090,509
LACA,2090,1284
Total,2090,7500
USA,2100,563
W. Europe,2100,2918
E. Europe,2100,86
KOSAU,2100,11
CAJANZ,2100,189
TE,2100,10
MENA,2100,648
SSA,2100,560
SASIA,2100,1725
CHINA,2100,138
EASIA,2100,610
LACA,2100,1541
Total,2100,9000
