item,price,date
oranges,0.2285611,2000-01-01
Tomatoes,1.399303,2000-01-01
Ketchup,0.5665151,2000-01-01
apples,1.012222,2000-01-01
apples,1.026067,2000-02-01
oranges,0.2214815,2000-02-01
Tomatoes,1.615144,2000-02-01
Ketchup,0.5702308,2000-02-01
Tomatoes,1.665878,2000-03-01
oranges,0.2162357,2000-03-01
Ketchup,0.5677519,2000-03-01
apples,1.052218,2000-03-01
oranges,0.2258088,2000-04-01
apples,1.078885,2000-04-01
Ketchup,0.564923,2000-04-01
Tomatoes,1.520373,2000-04-01
Ketchup,0.5633577,2000-05-01
apples,1.095402,2000-05-01
Tomatoes,1.284906,2000-05-01
oranges,0.2150186,2000-05-01
Tomatoes,1.168222,2000-06-01
apples,1.149239,2000-06-01
oranges,0.2202888,2000-06-01
Ketchup,0.5664394,2000-06-01
apples,1.114826,2000-07-01
Tomatoes,1.298102,2000-07-01
Ketchup,0.5622481,2000-07-01
oranges,0.2266421,2000-07-01
oranges,0.2220446,2000-08-01
Tomatoes,1.262226,2000-08-01
apples,1.164424,2000-08-01
Ketchup,0.5544776,2000-08-01
Tomatoes,1.304786,2000-09-01
Ketchup,0.5596269,2000-09-01
apples,1.152792,2000-09-01
oranges,0.2264444,2000-09-01
Ketchup,0.5666165,2000-10-01
apples,1.088694,2000-10-01
Tomatoes,1.417553,2000-10-01
oranges,0.2301429,2000-10-01
apples,1.051227,2000-11-01
oranges,0.2281588,2000-11-01
Tomatoes,1.425571,2000-11-01
Ketchup,0.5789844,2000-11-01
Ketchup,0.5813953,2000-12-01
apples,1.072626,2000-12-01
Tomatoes,1.491189,2000-12-01
oranges,0.2259567,2000-12-01
apples,1.072945,2001-01-01
oranges,0.2395668,2001-01-01
Ketchup,0.5850406,2001-01-01
Tomatoes,1.340848,2001-01-01
Tomatoes,1.291544,2001-02-01
Ketchup,0.59736,2001-02-01
oranges,0.2427985,2001-02-01
apples,1.077698,2001-02-01
Tomatoes,1.39491,2001-03-01
apples,1.089963,2001-03-01
oranges,0.2524444,2001-03-01
Ketchup,0.6003175,2001-03-01
apples,1.115037,2001-04-01
Ketchup,0.6036923,2001-04-01
Tomatoes,1.426015,2001-04-01
oranges,0.266,2001-04-01
Ketchup,0.5983607,2001-05-01
apples,1.181397,2001-05-01
oranges,0.2496364,2001-05-01
Tomatoes,1.415658,2001-05-01
oranges,0.2542436,2001-06-01
Tomatoes,1.254417,2001-06-01
apples,1.188864,2001-06-01
Ketchup,0.6096269,2001-06-01
