item,price,date
apples,1.012222,2000-01-01
apples,1.026067,2000-02-01
apples,1.052218,2000-03-01
apples,1.078885,2000-04-01
apples,1.095402,2000-05-01
apples,1.149239,2000-06-01
apples,1.114826,2000-07-01
apples,1.164424,2000-08-01
apples,1.152792,2000-09-01
apples,1.088694,2000-10-01
apples,1.051227,2000-11-01
apples,1.072626,2000-12-01
apples,1.072945,2001-01-01
apples,1.077698,2001-02-01
apples,1.089963,2001-03-01
apples,1.115037,2001-04-01
apples,1.181397,2001-05-01
apples,1.188864,2001-06-01
apples,1.245751,2001-07-01
apples,1.260036,2001-08-01
apples,1.25513,2001-09-01
apples,1.2084,2001-10-01
apples,1.19135,2001-11-01
apples,1.190526,2001-12-01
apples,1.181136,2002-01-01
apples,1.214201,2002-02-01
apples,1.23603,2002-03-01
apples,1.265487,2002-04-01
apples,1.292888,2002-05-01
apples,1.260571,2002-06-01
apples,1.298556,2002-07-01
apples,1.312894,2002-08-01
apples,1.260037,2002-09-01
apples,1.232201,2002-10-01
apples,1.218893,2002-11-01
apples,1.234239,2002-12-01
apples,1.231544,2003-01-01
apples,1.268502,2003-02-01
apples,1.261734,2003-03-01
apples,1.301753,2003-04-01
apples,1.322568,2003-05-01
apples,1.312078,2003-06-01
apples,1.338933,2003-07-01
apples,1.34656,2003-08-01
apples,1.347016,2003-09-01
apples,1.327247,2003-10-01
apples,1.309403,2003-11-01
apples,1.312161,2003-12-01
apples,1.307378,2004-01-01
apples,1.320558,2004-02-01
apples,1.336475,2004-03-01
apples,1.336537,2004-04-01
apples,1.319416,2004-05-01
apples,1.354769,2004-06-01
apples,1.372634,2004-07-01
apples,1.337754,2004-08-01
apples,1.342449,2004-09-01
apples,1.326653,2004-10-01
apples,1.316827,2004-11-01
apples,1.318492,2004-12-01
apples,1.312196,2005-01-01
apples,1.310367,2005-02-01
apples,1.309344,2005-03-01
apples,1.316855,2005-04-01
apples,1.245753,2005-05-01
apples,1.311084,2005-06-01
apples,1.322816,2005-07-01
apples,1.306627,2005-08-01
apples,1.284524,2005-09-01
apples,1.281774,2005-10-01
apples,1.25792,2005-11-01
apples,1.253611,2005-12-01
apples,1.261331,2006-01-01
apples,1.254937,2006-02-01
apples,1.248333,2006-03-01
apples,1.271193,2006-04-01
apples,1.32374,2006-05-01
apples,1.363186,2006-06-01
apples,1.372468,2006-07-01
apples,1.425299,2006-08-01
apples,1.434512,2006-09-01
apples,1.398675,2006-10-01
apples,1.395889,2006-11-01
apples,1.410595,2006-12-01
apples,1.413621,2007-01-01
apples,1.403699,2007-02-01
apples,1.414903,2007-03-01
apples,1.422461,2007-04-01
apples,1.448039,2007-05-01
apples,1.448941,2007-06-01
apples,1.446877,2007-07-01
apples,1.460412,2007-08-01
apples,1.46252,2007-09-01
apples,1.449124,2007-10-01
apples,1.459051,2007-11-01
apples,1.473004,2007-12-01
apples,1.45648,2008-01-01
apples,1.461017,2008-02-01
apples,1.484303,2008-03-01
apples,1.51764,2008-04-01
apples,1.544,2008-05-01
apples,1.603942,2008-06-01
apples,1.640837,2008-07-01
apples,1.668395,2008-08-01
apples,1.650785,2008-09-01
apples,1.595833,2008-10-01
apples,1.579163,2008-11-01
apples,1.59884,2008-12-01
apples,1.595685,2009-01-01
apple cider,2.837714,2009-02-01
apples,1.612218,2009-02-01
apples,1.626748,2009-03-01
apple cider,2.847427,2009-03-01
apple cider,2.85595,2009-04-01
apples,1.688992,2009-04-01
apple cider,2.876757,2009-05-01
apples,1.702936,2009-05-01
apples,1.700894,2009-06-01
apple cider,2.884687,2009-06-01
apples,1.655021,2009-07-01
apple cider,2.888142,2009-07-01
apple cider,2.89205,2009-08-01
apples,1.621833,2009-08-01
apples,1.582594,2009-09-01
apple cider,2.892321,2009-09-01
apple cider,2.898419,2009-10-01
apples,1.548945,2009-10-01
apples,1.551364,2009-11-01
apple cider,2.902186,2009-11-01
apples,1.578174,2009-12-01
apple cider,2.903027,2009-12-01
apple cider,2.931188,2010-01-01
apples,1.602308,2010-01-01
apples,1.597532,2010-02-01
apple cider,2.962886,2010-02-01
apple cider,2.96693,2010-03-01
apples,1.632363,2010-03-01
apple cider,3.011473,2010-04-01
apples,1.665943,2010-04-01
apples,1.722314,2010-05-01
apple cider,3.025912,2010-05-01
apple cider,3.025581,2010-06-01
apples,1.747837,2010-06-01
apples,1.781516,2010-07-01
apple cider,3.031358,2010-07-01
apples,1.791781,2010-08-01
apple cider,3.030342,2010-08-01
apple cider,3.025665,2010-09-01
apples,1.80448,2010-09-01
apples,1.801406,2010-10-01
apple cider,3.027442,2010-10-01
apple cider,3.044097,2010-11-01
apples,1.77475,2010-11-01
apple cider,3.059061,2010-12-01
apples,1.723012,2010-12-01
apple cider,3.107165,2011-01-01
apples,1.757409,2011-01-01
apple cider,3.125553,2011-02-01
apples,1.728613,2011-02-01
apples,1.719719,2011-03-01
apple cider,3.135664,2011-03-01
apple cider,3.166556,2011-04-01
apples,1.7308,2011-04-01
apple cider,3.177776,2011-05-01
apples,1.721907,2011-05-01
apples,1.773853,2011-06-01
apple cider,3.183327,2011-06-01
apples,1.804051,2011-07-01
apple cider,3.189553,2011-07-01
apple cider,3.203574,2011-08-01
apples,1.81639,2011-08-01
apple cider,3.204587,2011-09-01
apples,1.82428,2011-09-01
apples,1.773602,2011-10-01
apple cider,3.207239,2011-10-01
apples,1.729181,2011-11-01
apple cider,3.202035,2011-11-01
apple cider,3.216061,2011-12-01
apples,1.743602,2011-12-01
apples,1.731092,2012-01-01
apple cider,3.220075,2012-01-01
apples,1.732795,2012-02-01
apple cider,3.235601,2012-02-01
apples,1.725536,2012-03-01
apple cider,3.243942,2012-03-01
apple cider,3.293836,2012-04-01
apples,1.732647,2012-04-01
apple cider,3.296179,2012-05-01
apples,1.724236,2012-05-01
apples,1.780961,2012-06-01
apple cider,3.293359,2012-06-01
apples,1.795158,2012-07-01
apple cider,3.300998,2012-07-01
apple cider,3.303537,2012-08-01
apples,1.830614,2012-08-01
apple cider,3.262262,2012-09-01
apples,1.818319,2012-09-01
apples,1.880942,2012-10-01
apple cider,3.23608,2012-10-01
apple cider,3.23749,2012-11-01
apples,1.889869,2012-11-01
apple cider,3.24105,2012-12-01
apples,1.927393,2012-12-01
apples,1.939067,2013-01-01
apple cider,3.248095,2013-01-01
apples,1.956864,2013-02-01
apple cider,3.268346,2013-02-01
apple cider,3.270345,2013-03-01
apples,1.962018,2013-03-01
apples,1.969234,2013-04-01
apple cider,3.302916,2013-04-01
apples,2.005872,2013-05-01
apple cider,3.303093,2013-05-01
apple cider,3.308388,2013-06-01
apples,1.992385,2013-06-01
apples,2.021954,2013-07-01
apple cider,3.319867,2013-07-01
apples,2.083333,2013-08-01
apple cider,3.315123,2013-08-01
apple cider,3.310038,2013-09-01
apples,2.147243,2013-09-01
apples,2.070815,2013-10-01
apple cider,3.311353,2013-10-01
apple cider,3.312046,2013-11-01
apples,1.961483,2013-11-01
apples,1.954615,2013-12-01
apple cider,3.318729,2013-12-01
apple cider,3.335048,2014-01-01
apples,1.976545,2014-01-01
apples,1.978233,2014-02-01
apple cider,3.310346,2014-02-01
apples,1.954178,2014-03-01
apple cider,3.315804,2014-03-01
apples,1.958273,2014-04-01
apple cider,3.327139,2014-04-01
apples,1.97347,2014-05-01
apple cider,3.33263,2014-05-01
apple cider,3.346749,2014-06-01
apples,1.968498,2014-06-01
apples,1.990783,2014-07-01
