item,price,date
oranges,0.2285611,2000-01-01
oranges,0.2214815,2000-02-01
oranges,0.2162357,2000-03-01
oranges,0.2258088,2000-04-01
oranges,0.2150186,2000-05-01
oranges,0.2202888,2000-06-01
oranges,0.2266421,2000-07-01
oranges,0.2220446,2000-08-01
oranges,0.2264444,2000-09-01
oranges,0.2301429,2000-10-01
oranges,0.2281588,2000-11-01
oranges,0.2259567,2000-12-01
oranges,0.2395668,2001-01-01
oranges,0.2427985,2001-02-01
oranges,0.2524444,2001-03-01
oranges,0.266,2001-04-01
oranges,0.2496364,2001-05-01
oranges,0.2542436,2001-06-01
oranges,0.2702632,2001-07-01
oranges,0.264296,2001-08-01
oranges,0.2522388,2001-09-01
oranges,0.2517518,2001-10-01
oranges,0.251963,2001-11-01
oranges,0.2556855,2001-12-01
oranges,0.2638077,2002-01-01
oranges,0.2548638,2002-02-01
oranges,0.2573134,2002-03-01
oranges,0.2558113,2002-04-01
oranges,0.2574101,2002-05-01
oranges,0.2450746,2002-06-01
oranges,0.2584364,2002-07-01
oranges,0.2532847,2002-08-01
oranges,0.2541923,2002-09-01
oranges,0.2542222,2002-10-01
oranges,0.2575,2002-11-01
oranges,0.2629348,2002-12-01
oranges,0.2627138,2003-01-01
oranges,0.2694615,2003-02-01
orange juice,1.910833,2003-02-01
oranges,0.2746296,2003-03-01
orange juice,1.821349,2003-03-01
orange juice,1.904299,2003-04-01
oranges,0.2757438,2003-04-01
orange juice,1.927339,2003-05-01
oranges,0.2682114,2003-05-01
orange juice,1.926,2003-06-01
oranges,0.272459,2003-06-01
oranges,0.2721687,2003-07-01
orange juice,1.867818,2003-07-01
oranges,0.273745,2003-08-01
orange juice,1.874234,2003-08-01
oranges,0.271746,2003-09-01
orange juice,1.668198,2003-09-01
orange juice,1.836325,2003-10-01
oranges,0.2740562,2003-10-01
orange juice,1.807462,2003-11-01
oranges,0.2775735,2003-11-01
oranges,0.2750368,2003-12-01
orange juice,1.807372,2003-12-01
orange juice,1.763407,2004-01-01
oranges,0.2739706,2004-01-01
oranges,0.2758943,2004-02-01
orange juice,1.697304,2004-02-01
oranges,0.2706773,2004-03-01
orange juice,1.713984,2004-03-01
oranges,0.271417,2004-04-01
orange juice,1.67681,2004-04-01
orange juice,1.637395,2004-05-01
oranges,0.268659,2004-05-01
oranges,0.2662992,2004-06-01
orange juice,1.652677,2004-06-01
oranges,0.2773152,2004-07-01
orange juice,1.66016,2004-07-01
oranges,0.2746484,2004-08-01
orange juice,1.639016,2004-08-01
oranges,0.2716599,2004-09-01
orange juice,1.637869,2004-09-01
oranges,0.2689431,2004-10-01
orange juice,1.714677,2004-10-01
oranges,0.2711811,2004-11-01
orange juice,1.70648,2004-11-01
orange juice,1.637895,2004-12-01
oranges,0.2733333,2004-12-01
oranges,0.2665476,2005-01-01
orange juice,1.611417,2005-01-01
orange juice,1.687563,2005-02-01
oranges,0.2658436,2005-02-01
oranges,0.269243,2005-03-01
orange juice,1.65084,2005-03-01
oranges,0.26448,2005-04-01
orange juice,1.608254,2005-04-01
oranges,0.2510448,2005-05-01
orange juice,1.595259,2005-05-01
oranges,0.2556126,2005-06-01
orange juice,1.590388,2005-06-01
orange juice,1.628618,2005-07-01
oranges,0.2590945,2005-07-01
oranges,0.2593359,2005-08-01
orange juice,1.643798,2005-08-01
oranges,0.2558779,2005-09-01
orange juice,1.585349,2005-09-01
oranges,0.2496875,2005-10-01
orange juice,1.704141,2005-10-01
oranges,0.2609886,2005-11-01
orange juice,1.72728,2005-11-01
orange juice,1.657698,2005-12-01
oranges,0.2592064,2005-12-01
oranges,0.260123,2006-01-01
orange juice,1.681825,2006-01-01
oranges,0.2614226,2006-02-01
orange juice,1.692667,2006-02-01
orange juice,1.647578,2006-03-01
oranges,0.2623228,2006-03-01
oranges,0.2601539,2006-04-01
orange juice,1.682109,2006-04-01
oranges,0.2505555,2006-05-01
orange juice,1.726371,2006-05-01
orange juice,1.69771,2006-06-01
oranges,0.2566791,2006-06-01
oranges,0.2609921,2006-07-01
orange juice,1.716111,2006-07-01
oranges,0.2639081,2006-08-01
orange juice,1.696565,2006-08-01
oranges,0.264636,2006-09-01
orange juice,1.711691,2006-09-01
orange juice,1.741861,2006-10-01
oranges,0.2651779,2006-10-01
oranges,0.2671539,2006-11-01
orange juice,1.742074,2006-11-01
oranges,0.2816667,2006-12-01
orange juice,1.721397,2006-12-01
orange juice,1.738258,2007-01-01
oranges,0.2895968,2007-01-01
orange juice,1.767143,2007-02-01
oranges,0.285144,2007-02-01
orange juice,1.734148,2007-03-01
oranges,0.2838697,2007-03-01
oranges,0.2864093,2007-04-01
orange juice,1.758872,2007-04-01
orange juice,1.786963,2007-05-01
oranges,0.2927203,2007-05-01
oranges,0.2946094,2007-06-01
orange juice,1.791172,2007-06-01
oranges,0.2953697,2007-07-01
orange juice,1.720226,2007-07-01
orange juice,1.739923,2007-08-01
oranges,0.2970356,2007-08-01
oranges,0.2977186,2007-09-01
orange juice,1.818889,2007-09-01
orange juice,1.802481,2007-10-01
oranges,0.2981538,2007-10-01
oranges,0.2950186,2007-11-01
orange juice,1.773088,2007-11-01
oranges,0.2947328,2007-12-01
orange juice,1.794748,2007-12-01
oranges,0.3034749,2008-01-01
orange juice,1.821185,2008-01-01
oranges,0.3075197,2008-02-01
orange juice,1.810534,2008-02-01
orange juice,1.771045,2008-03-01
oranges,0.3095385,2008-03-01
orange juice,1.787111,2008-04-01
oranges,0.3106513,2008-04-01
orange juice,1.743053,2008-05-01
oranges,0.3151362,2008-05-01
orange juice,1.750857,2008-06-01
oranges,0.3227203,2008-06-01
orange juice,1.79194,2008-07-01
oranges,0.3271591,2008-07-01
oranges,0.3329008,2008-08-01
orange juice,1.744815,2008-08-01
orange juice,1.72518,2008-09-01
oranges,0.3249077,2008-09-01
orange juice,1.753093,2008-10-01
oranges,0.3208271,2008-10-01
orange juice,1.743768,2008-11-01
oranges,0.3268235,2008-11-01
orange juice,1.744823,2008-12-01
oranges,0.3286364,2008-12-01
orange juice,1.788298,2009-01-01
oranges,0.3318631,2009-01-01
oranges,0.3313281,2009-02-01
orange juice,1.861527,2009-02-01
oranges,0.3273828,2009-03-01
orange juice,1.860435,2009-03-01
orange juice,1.878806,2009-04-01
oranges,0.3246565,2009-04-01
oranges,0.3234733,2009-05-01
orange juice,1.886741,2009-05-01
oranges,0.3194636,2009-06-01
orange juice,1.866377,2009-06-01
orange juice,1.835547,2009-07-01
oranges,0.3178039,2009-07-01
orange juice,1.826232,2009-08-01
oranges,0.3192218,2009-08-01
orange juice,1.817606,2009-09-01
oranges,0.3120611,2009-09-01
orange juice,1.838824,2009-10-01
oranges,0.306139,2009-10-01
oranges,0.3251154,2009-11-01
orange juice,1.728521,2009-11-01
oranges,0.3461194,2009-12-01
orange juice,1.812286,2009-12-01
orange juice,1.822331,2010-01-01
oranges,0.3569318,2010-01-01
oranges,0.3606746,2010-02-01
orange juice,1.936094,2010-02-01
orange juice,1.980803,2010-03-01
oranges,0.3533202,2010-03-01
oranges,0.366692,2010-04-01
orange juice,1.98237,2010-04-01
oranges,0.3708984,2010-05-01
orange juice,1.965221,2010-05-01
orange juice,1.857537,2010-06-01
oranges,0.371627,2010-06-01
oranges,0.3892149,2010-07-01
orange juice,1.91587,2010-07-01
orange juice,1.98234,2010-08-01
oranges,0.3882692,2010-08-01
orange juice,1.975704,2010-09-01
oranges,0.380695,2010-09-01
oranges,0.3837786,2010-10-01
orange juice,1.966232,2010-10-01
orange juice,1.988345,2010-11-01
oranges,0.3721138,2010-11-01
orange juice,2.006667,2010-12-01
oranges,0.376746,2010-12-01
oranges,0.3679365,2011-01-01
orange juice,2.111871,2011-01-01
oranges,0.3611765,2011-02-01
orange juice,2.158897,2011-02-01
orange juice,2.094928,2011-03-01
oranges,0.3653175,2011-03-01
oranges,0.3655,2011-04-01
orange juice,2.122535,2011-04-01
oranges,0.3653527,2011-05-01
orange juice,2.144,2011-05-01
orange juice,2.099856,2011-06-01
oranges,0.3637705,2011-06-01
orange juice,2.050993,2011-07-01
oranges,0.3648781,2011-07-01
orange juice,2.127887,2011-08-01
oranges,0.3753386,2011-08-01
orange juice,2.114786,2011-09-01
oranges,0.3760784,2011-09-01
oranges,0.3773828,2011-10-01
orange juice,2.126503,2011-10-01
orange juice,2.133071,2011-11-01
oranges,0.3776892,2011-11-01
oranges,0.3696016,2011-12-01
orange juice,2.126,2011-12-01
oranges,0.3450806,2012-01-01
orange juice,2.132887,2012-01-01
orange juice,2.200543,2012-02-01
oranges,0.3487764,2012-02-01
oranges,0.3379845,2012-03-01
orange juice,2.217279,2012-03-01
orange juice,2.193359,2012-04-01
oranges,0.3391892,2012-04-01
oranges,0.3346063,2012-05-01
orange juice,2.222061,2012-05-01
orange juice,2.141053,2012-06-01
oranges,0.340549,2012-06-01
orange juice,2.197895,2012-07-01
oranges,0.3462698,2012-07-01
oranges,0.3501976,2012-08-01
orange juice,2.156503,2012-08-01
oranges,0.3542413,2012-09-01
orange juice,2.085693,2012-09-01
orange juice,2.128705,2012-10-01
oranges,0.346996,2012-10-01
orange juice,2.083688,2012-11-01
oranges,0.3492278,2012-11-01
orange juice,2.113162,2012-12-01
oranges,0.358659,2012-12-01
oranges,0.3626378,2013-01-01
orange juice,2.09964,2013-01-01
orange juice,2.116115,2013-02-01
oranges,0.3617769,2013-02-01
orange juice,2.035,2013-03-01
oranges,0.3568,2013-03-01
orange juice,2.142411,2013-04-01
oranges,0.3526295,2013-04-01
orange juice,2.107589,2013-05-01
oranges,0.3491532,2013-05-01
orange juice,2.117589,2013-06-01
oranges,0.3404839,2013-06-01
orange juice,2.095255,2013-07-01
oranges,0.3728319,2013-07-01
oranges,0.3704721,2013-08-01
orange juice,2.144406,2013-08-01
orange juice,2.037872,2013-09-01
oranges,0.3670042,2013-09-01
orange juice,2.146197,2013-10-01
oranges,0.3638034,2013-10-01
oranges,0.3574074,2013-11-01
orange juice,2.115324,2013-11-01
orange juice,2.132937,2013-12-01
oranges,0.3547108,2013-12-01
oranges,0.3647791,2014-01-01
orange juice,2.025594,2014-01-01
orange juice,2.224643,2014-02-01
oranges,0.3547458,2014-02-01
orange juice,2.167622,2014-03-01
oranges,0.3465021,2014-03-01
oranges,0.347621,2014-04-01
orange juice,2.17257,2014-04-01
orange juice,2.164792,2014-05-01
oranges,0.3472835,2014-05-01
orange juice,2.240966,2014-06-01
oranges,0.3473469,2014-06-01
orange juice,2.233125,2014-07-01
oranges,0.35128,2014-07-01
orange juice,2.219357,2014-08-01
oranges,0.3641767,2014-08-01
oranges,0.3640158,2014-09-01
orange juice,2.259859,2014-09-01
orange juice,2.187194,2014-10-01
oranges,0.3654264,2014-10-01
oranges,0.3620588,2014-11-01
orange juice,2.223239,2014-11-01
oranges,0.3654878,2014-12-01
orange juice,2.236993,2014-12-01
orange juice,2.132083,2015-01-01
