item,price,date
Tomatoes,1.399303,2000-01-01
Ketchup,0.5665151,2000-01-01
Tomatoes,1.615144,2000-02-01
Ketchup,0.5702308,2000-02-01
Tomatoes,1.665878,2000-03-01
Ketchup,0.5677519,2000-03-01
Ketchup,0.564923,2000-04-01
Tomatoes,1.520373,2000-04-01
Ketchup,0.5633577,2000-05-01
Tomatoes,1.284906,2000-05-01
Tomatoes,1.168222,2000-06-01
Ketchup,0.5664394,2000-06-01
Tomatoes,1.298102,2000-07-01
Ketchup,0.5622481,2000-07-01
Tomatoes,1.262226,2000-08-01
Ketchup,0.5544776,2000-08-01
Tomatoes,1.304786,2000-09-01
Ketchup,0.5596269,2000-09-01
Ketchup,0.5666165,2000-10-01
Tomatoes,1.417553,2000-10-01
Tomatoes,1.425571,2000-11-01
Ketchup,0.5789844,2000-11-01
Ketchup,0.5813953,2000-12-01
Tomatoes,1.491189,2000-12-01
Ketchup,0.5850406,2001-01-01
Tomatoes,1.340848,2001-01-01
Tomatoes,1.291544,2001-02-01
Ketchup,0.59736,2001-02-01
Tomatoes,1.39491,2001-03-01
Ketchup,0.6003175,2001-03-01
Ketchup,0.6036923,2001-04-01
Tomatoes,1.426015,2001-04-01
Ketchup,0.5983607,2001-05-01
Tomatoes,1.415658,2001-05-01
Tomatoes,1.254417,2001-06-01
Ketchup,0.6096269,2001-06-01
Ketchup,0.6003817,2001-07-01
Tomatoes,1.168964,2001-07-01
Tomatoes,1.160547,2001-08-01
Ketchup,0.6159016,2001-08-01
Tomatoes,1.191213,2001-09-01
Ketchup,0.6347273,2001-09-01
Tomatoes,1.447464,2001-10-01
Ketchup,0.6391965,2001-10-01
Ketchup,0.6230088,2001-11-01
Tomatoes,1.269126,2001-11-01
Tomatoes,1.416715,2001-12-01
Ketchup,0.6131356,2001-12-01
Ketchup,0.6120325,2002-01-01
Tomatoes,1.560245,2002-01-01
Tomatoes,1.538261,2002-02-01
Ketchup,0.6311607,2002-02-01
Ketchup,0.6340678,2002-03-01
Tomatoes,2.127239,2002-03-01
Tomatoes,1.916716,2002-04-01
Ketchup,0.6341463,2002-04-01
Ketchup,0.6337903,2002-05-01
Tomatoes,1.589823,2002-05-01
Ketchup,0.6336066,2002-06-01
Tomatoes,1.27293,2002-06-01
Tomatoes,1.270766,2002-07-01
Ketchup,0.6269166,2002-07-01
Ketchup,0.6310569,2002-08-01
Tomatoes,1.280569,2002-08-01
Ketchup,0.628374,2002-09-01
Tomatoes,1.310866,2002-09-01
Ketchup,0.63,2002-10-01
Tomatoes,1.541155,2002-10-01
Ketchup,0.6271428,2002-11-01
Tomatoes,1.307331,2002-11-01
Tomatoes,1.411654,2002-12-01
Ketchup,0.6191803,2002-12-01
Ketchup,0.6182787,2003-01-01
Tomatoes,1.397419,2003-01-01
Tomatoes,1.467138,2003-02-01
Ketchup,0.5921264,2003-02-01
Ketchup,0.5874302,2003-03-01
Tomatoes,1.55,2003-03-01
Ketchup,0.6014286,2003-04-01
Tomatoes,1.70642,2003-04-01
Ketchup,0.6063415,2003-05-01
Tomatoes,1.467088,2003-05-01
Ketchup,0.5966216,2003-06-01
Tomatoes,1.534039,2003-06-01
Ketchup,0.5975294,2003-07-01
Tomatoes,1.465059,2003-07-01
Tomatoes,1.518953,2003-08-01
Ketchup,0.6270455,2003-08-01
Ketchup,0.6368333,2003-09-01
Tomatoes,2.075709,2003-09-01
Tomatoes,2.036836,2003-10-01
Ketchup,0.6286932,2003-10-01
Ketchup,0.6274869,2003-11-01
