year,no
1960,30
1961,26
1962,24
1963,34
1964,52
1965,53
1966,66
1967,59
1968,60
1969,55
1970,64
1971,49
1972,52
1973,55
1974,58
1975,51
1976,63
1977,94
1978,97
1979,87
1980,107
1981,118
1982,122
1983,158
1984,119
1985,135
1986,122
1987,163
1988,173
1989,147
1990,237
1991,178
1992,169
1993,229
1994,213
1995,215
1996,208
1997,232
1998,254
1999,301
2000,372
2001,344
2002,375
2003,318
2004,302
2005,407
2006,354
2007,385
2008,326
2009,314
2010,366
2011,296
2012,316
2013,296
2014,292
2015,354
2016,294
2017,319
2018,290
2019,361
2020,373
2021,395
2022,298
