quote_date,item_id,p_mean,p_75,p_median,p_25,p_sd,date,dateStata,dateISO,obs,year,month,quarter,itemName
200001,212709,0.2285611,0.25,0.22,0.19,0.0694232,144,01/01/2000,01/01/2000,105846,2000,1,1,oranges
200001,212515,1.399303,1.3,1.08,0.99,1.169405,144,01/01/2000,01/01/2000,105846,2000,1,1,Tomatoes
200001,212917,0.5665151,0.61,0.59,0.48,0.1405061,144,01/01/2000,01/01/2000,105846,2000,1,1,Ketchup
200001,212717,1.012222,1.08,0.99,0.86,0.204565,144,01/01/2000,01/01/2000,105846,2000,1,1,apples
200002,212717,1.026067,1.1,0.99,0.86,0.2559412,145,01/02/2000,01/02/2000,99732,2000,2,1,apples
200002,212709,0.2214815,0.25,0.2,0.17,0.0714327,145,01/02/2000,01/02/2000,99732,2000,2,1,oranges
200002,212515,1.615144,1.52,1.3,1.21,1.136431,145,01/02/2000,01/02/2000,99732,2000,2,1,Tomatoes
200002,212917,0.5702308,0.61,0.59,0.47,0.1647854,145,01/02/2000,01/02/2000,99732,2000,2,1,Ketchup
200003,212515,1.665878,1.65,1.3,1.29,1.115495,146,01/03/2000,01/03/2000,103687,2000,3,1,Tomatoes
200003,212709,0.2162357,0.25,0.2,0.18,0.0624186,146,01/03/2000,01/03/2000,103687,2000,3,1,oranges
200003,212917,0.5677519,0.63,0.55,0.47,0.1654126,146,01/03/2000,01/03/2000,103687,2000,3,1,Ketchup
200003,212717,1.052218,1.1,1.06,0.86,0.2792688,146,01/03/2000,01/03/2000,103687,2000,3,1,apples
200004,212709,0.2258088,0.25,0.2,0.17,0.0701612,147,01/04/2000,01/04/2000,106130,2000,4,2,oranges
200004,212717,1.078885,1.24,1.08,0.86,0.2197118,147,01/04/2000,01/04/2000,106130,2000,4,2,apples
200004,212917,0.564923,0.61,0.55,0.48,0.1634428,147,01/04/2000,01/04/2000,106130,2000,4,2,Ketchup
200004,212515,1.520373,1.74,1.45,1.28,0.4376622,147,01/04/2000,01/04/2000,106130,2000,4,2,Tomatoes
200005,212917,0.5633577,0.61,0.55,0.49,0.1630377,148,01/05/2000,01/05/2000,107453,2000,5,2,Ketchup
200005,212717,1.095402,1.29,1.08,0.86,0.2621089,148,01/05/2000,01/05/2000,107453,2000,5,2,apples
200005,212515,1.284906,1.49,1.15,1.08,0.4182953,148,01/05/2000,01/05/2000,107453,2000,5,2,Tomatoes
200005,212709,0.2150186,0.25,0.2,0.16,0.0737565,148,01/05/2000,01/05/2000,107453,2000,5,2,oranges
200006,212515,1.168222,1.3,1.05,0.99,0.4042559,149,01/06/2000,01/06/2000,106540,2000,6,2,Tomatoes
200006,212717,1.149239,1.29,1.1,0.99,0.2333826,149,01/06/2000,01/06/2000,106540,2000,6,2,apples
200006,212709,0.2202888,0.25,0.19,0.19,0.0744734,149,01/06/2000,01/06/2000,106540,2000,6,2,oranges
200006,212917,0.5664394,0.61,0.55,0.475,0.1648461,149,01/06/2000,01/06/2000,106540,2000,6,2,Ketchup
200007,212717,1.114826,1.21,1.09,0.99,0.1940577,150,01/07/2000,01/07/2000,107334,2000,7,3,apples
200007,212515,1.298102,1.5,1.15,1.08,0.3886909,150,01/07/2000,01/07/2000,107334,2000,7,3,Tomatoes
200007,212917,0.5622481,0.61,0.55,0.49,0.1613529,150,01/07/2000,01/07/2000,107334,2000,7,3,Ketchup
200007,212709,0.2266421,0.25,0.21,0.19,0.0688273,150,01/07/2000,01/07/2000,107334,2000,7,3,oranges
200008,212709,0.2220446,0.25,0.21,0.19,0.0668529,151,01/08/2000,01/08/2000,104159,2000,8,3,oranges
200008,212515,1.262226,1.43,1.09,0.99,0.4197258,151,01/08/2000,01/08/2000,104159,2000,8,3,Tomatoes
200008,212717,1.164424,1.29,1.19,1,0.2360609,151,01/08/2000,01/08/2000,104159,2000,8,3,apples
200008,212917,0.5544776,0.61,0.55,0.42,0.1646713,151,01/08/2000,01/08/2000,104159,2000,8,3,Ketchup
200009,212515,1.304786,1.5,1.21,1.08,0.4153816,152,01/09/2000,01/09/2000,104363,2000,9,3,Tomatoes
200009,212917,0.5596269,0.62,0.55,0.49,0.1579636,152,01/09/2000,01/09/2000,104363,2000,9,3,Ketchup
200009,212717,1.152792,1.29,1.15,0.99,0.271951,152,01/09/2000,01/09/2000,104363,2000,9,3,apples
200009,212709,0.2264444,0.25,0.23,0.18,0.0687863,152,01/09/2000,01/09/2000,104363,2000,9,3,oranges
200010,212917,0.5666165,0.62,0.55,0.49,0.1584245,153,01/10/2000,01/10/2000,105335,2000,10,4,Ketchup
200010,212717,1.088694,1.2,1.08,0.875,0.2742688,153,01/10/2000,01/10/2000,105335,2000,10,4,apples
200010,212515,1.417553,1.52,1.3,1.19,0.4014263,153,01/10/2000,01/10/2000,105335,2000,10,4,Tomatoes
200010,212709,0.2301429,0.25,0.22,0.19,0.0786397,153,01/10/2000,01/10/2000,105335,2000,10,4,oranges
200011,212717,1.051227,1.19,0.99,0.84,0.2929896,154,01/11/2000,01/11/2000,105762,2000,11,4,apples
200011,212709,0.2281588,0.25,0.21,0.19,0.0795358,154,01/11/2000,01/11/2000,105762,2000,11,4,oranges
200011,212515,1.425571,1.52,1.3,1.28,0.374688,154,01/11/2000,01/11/2000,105762,2000,11,4,Tomatoes
200011,212917,0.5789844,0.65,0.59,0.49,0.1635956,154,01/11/2000,01/11/2000,105762,2000,11,4,Ketchup
200012,212917,0.5813953,0.67,0.59,0.49,0.1654763,155,01/12/2000,01/12/2000,106142,2000,12,4,Ketchup
200012,212717,1.072626,1.26,1.08,0.85,0.2916614,155,01/12/2000,01/12/2000,106142,2000,12,4,apples
200012,212515,1.491189,1.65,1.32,1.28,0.3690405,155,01/12/2000,01/12/2000,106142,2000,12,4,Tomatoes
200012,212709,0.2259567,0.26,0.21,0.19,0.0686746,155,01/12/2000,01/12/2000,106142,2000,12,4,oranges
200101,212717,1.072945,1.21,1.08,0.86,0.2506088,156,01/01/2001,01/01/2001,102504,2001,1,1,apples
200101,212709,0.2395668,0.29,0.23,0.2,0.0763845,156,01/01/2001,01/01/2001,102504,2001,1,1,oranges
200101,212917,0.5850406,0.67,0.59,0.47,0.1780789,156,01/01/2001,01/01/2001,102504,2001,1,1,Ketchup
200101,212515,1.340848,1.5,1.28,1.08,0.433982,156,01/01/2001,01/01/2001,102504,2001,1,1,Tomatoes
200102,212515,1.291544,1.415,1.15,1.08,0.3895723,157,01/02/2001,01/02/2001,104038,2001,2,1,Tomatoes
